Absorbance,Wavenumber
4.406547e+002,5.565444e-002
4.411368e+002,5.602725e-002
4.416189e+002,5.643430e-002
4.421010e+002,5.681733e-002
4.425832e+002,5.712247e-002
4.430653e+002,5.732591e-002
4.435474e+002,5.743856e-002
4.440295e+002,5.749832e-002
4.445116e+002,5.754670e-002
4.449937e+002,5.761177e-002
4.454759e+002,5.769577e-002
4.459580e+002,5.777721e-002
4.464401e+002,5.782305e-002
4.469222e+002,5.780905e-002
4.474043e+002,5.773195e-002
4.478864e+002,5.761419e-002
4.483686e+002,5.749257e-002
4.488507e+002,5.740350e-002
4.493328e+002,5.737220e-002
4.498149e+002,5.740793e-002
4.502970e+002,5.750827e-002
4.507791e+002,5.766569e-002
4.512613e+002,5.787439e-002
4.517434e+002,5.812674e-002
4.522255e+002,5.840941e-002
4.527076e+002,5.870182e-002
4.531897e+002,5.897576e-002
4.536718e+002,5.920772e-002
4.541540e+002,5.939087e-002
4.546361e+002,5.954308e-002
4.551182e+002,5.970374e-002
4.556003e+002,5.992826e-002
4.560824e+002,6.027114e-002
4.565645e+002,6.075924e-002
4.570467e+002,6.136950e-002
4.575288e+002,6.202036e-002
4.580109e+002,6.260694e-002
4.584930e+002,6.304584e-002
4.589751e+002,6.331678e-002
4.594572e+002,6.345806e-002
4.599394e+002,6.354113e-002
4.604215e+002,6.363599e-002
4.609036e+002,6.379250e-002
4.613857e+002,6.403680e-002
4.618678e+002,6.436911e-002
4.623499e+002,6.477264e-002
4.628321e+002,6.522074e-002
4.633142e+002,6.568876e-002
4.637963e+002,6.615332e-002
4.642784e+002,6.659137e-002
4.647606e+002,6.698096e-002
4.652427e+002,6.729449e-002
4.657248e+002,6.750658e-002
4.662069e+002,6.760022e-002
4.666890e+002,6.757239e-002
4.671711e+002,6.743881e-002
4.676533e+002,6.722922e-002
4.681354e+002,6.698034e-002
4.686175e+002,6.672148e-002
4.690996e+002,6.647088e-002
4.695817e+002,6.623477e-002
4.700638e+002,6.600922e-002
4.705460e+002,6.578533e-002
4.710281e+002,6.555206e-002
4.715102e+002,6.530002e-002
4.719923e+002,6.502426e-002
4.724744e+002,6.473055e-002
4.729565e+002,6.443586e-002
4.734387e+002,6.416668e-002
4.739208e+002,6.395030e-002
4.744029e+002,6.380624e-002
4.748850e+002,6.374331e-002
4.753671e+002,6.375705e-002
4.758492e+002,6.383453e-002
4.763314e+002,6.395959e-002
4.768135e+002,6.412213e-002
4.772956e+002,6.432277e-002
4.777777e+002,6.457298e-002
4.782598e+002,6.488793e-002
4.787419e+002,6.527518e-002
4.792241e+002,6.572418e-002
4.797062e+002,6.620641e-002
4.801883e+002,6.667855e-002
4.806704e+002,6.710275e-002
