Absorbance,Wavenumber
6.686959e+002,-4.894673e-003
6.691781e+002,-4.802273e-003
6.696602e+002,-4.888284e-003
6.701423e+002,-5.064449e-003
6.706244e+002,-5.259137e-003
6.711066e+002,-5.427330e-003
6.715886e+002,-5.553392e-003
6.720708e+002,-5.639549e-003
6.725529e+002,-5.694297e-003
6.730350e+002,-5.723924e-003
6.735171e+002,-5.728371e-003
6.739993e+002,-5.702767e-003
6.744813e+002,-5.643344e-003
6.749635e+002,-5.553425e-003
6.754456e+002,-5.444280e-003
6.759277e+002,-5.330657e-003
6.764098e+002,-5.224993e-003
6.768920e+002,-5.130599e-003
6.773740e+002,-5.042768e-003
6.778562e+002,-4.953348e-003
6.783383e+002,-4.858895e-003
6.788204e+002,-4.764586e-003
6.793025e+002,-4.682385e-003
6.797847e+002,-4.622920e-003
6.802667e+002,-4.588234e-003
6.807489e+002,-4.567611e-003
6.812310e+002,-4.543512e-003
6.817131e+002,-4.499671e-003
6.821952e+002,-4.432637e-003
6.826774e+002,-4.353391e-003
6.831594e+002,-4.284827e-003
6.836416e+002,-4.247587e-003
6.841237e+002,-4.249490e-003
6.846058e+002,-4.278921e-003
6.850879e+002,-4.310548e-003
6.855701e+002,-4.316256e-003
6.860521e+002,-4.276526e-003
6.865343e+002,-4.189047e-003
6.870164e+002,-4.065215e-003
6.874985e+002,-3.922762e-003
6.879806e+002,-3.773989e-003
6.884628e+002,-3.621222e-003
6.889448e+002,-3.459395e-003
6.894270e+002,-3.283367e-003
6.899091e+002,-3.096346e-003
6.903912e+002,-2.912272e-003
6.908733e+002,-2.748797e-003
6.913555e+002,-2.618164e-003
6.918375e+002,-2.518162e-003
6.923197e+002,-2.430098e-003
6.928018e+002,-2.326922e-003
6.932839e+002,-2.187557e-003
6.937660e+002,-2.005604e-003
6.942482e+002,-1.792558e-003
6.947302e+002,-1.568909e-003
6.952124e+002,-1.352775e-003
6.956945e+002,-1.146580e-003
6.961766e+002,-9.361535e-004
6.966587e+002,-6.955226e-004
6.971409e+002,-4.032859e-004
6.976229e+002,-5.191794e-005
6.981051e+002,3.491743e-004
6.985872e+002,7.816724e-004
6.990693e+002,1.230916e-003
6.995514e+002,1.696924e-003
7.000336e+002,2.193903e-003
7.005156e+002,2.742964e-003
7.009978e+002,3.357228e-003
7.014799e+002,4.032521e-003
7.019620e+002,4.747019e-003
7.024441e+002,5.474841e-003
7.029263e+002,6.202876e-003
7.034083e+002,6.942773e-003
7.038905e+002,7.729869e-003
7.043726e+002,8.609029e-003
7.048547e+002,9.616312e-003
7.053368e+002,1.076140e-002
7.058190e+002,1.202818e-002
7.063010e+002,1.338782e-002
7.067832e+002,1.482131e-002
7.072653e+002,1.633468e-002
7.077474e+002,1.796194e-002
7.082295e+002,1.974897e-002
7.087117e+002,2.173797e-002
7.091937e+002,2.394936e-002
